序号,Shape *,名称,方位,最近地铁站,直线距离,通行距离,步行时间（分钟）,骑行时间（分钟）,驾车（分钟）
155,点,万寿园小区,西155,五棵松地铁站,829.190067,1187.966185,19.79943642,3.959887283,1.52935404
156,点,晾果厂小区,西156,军事博物馆地铁站,382.870328,983.612373,16.39353955,3.27870791,1.997687023
157,点,万寿路小区,西157,万寿路地铁站,407.20503,471.942849,7.86571415,1.57314283,0.561764716
158,点,科技部社区,北158,公主坟地铁站,364.761688,679.969189,11.33281982,2.266563963,1.20531928
159,点,翠微小区,东159,公主坟地铁站,709.158675,1068.218898,17.8036483,3.56072966,1.110508895
160,点,万寿园小区,西160,五棵松地铁站,852.828583,1232.353604,20.53922673,4.107845347,1.573743262
161,点,翠微路十六号宿舍区,北161,公主坟地铁站,680.463381,1089.307987,18.15513312,3.631026623,1.136792632
162,点,永定路52号院,西162,五棵松地铁站,853.899442,1202.558854,20.04264757,4.008529513,1.752864471
163,点,翠微路2号院,北163,万寿路地铁站,559.709913,799.058849,13.31764748,2.663529497,1.239844601
164,点,缘溪家园,东164,公主坟地铁站,453.183815,921.260028,15.3543338,3.07086676,1.4733216
165,点,翠微南里社区,南165,万寿路地铁站,568.737282,796.804,13.28006667,2.656013333,1.211509885
166,点,普惠南里,西166,公主坟地铁站,530.098053,925.90054,15.43167567,3.086335133,1.357136429
167,点,翠微小区,东167,公主坟地铁站,727.500311,1105.244331,18.42073885,3.68414777,1.135193648
168,点,普惠南里,南168,公主坟地铁站,431.526487,642.128167,10.70213612,2.140427223,1.145863875
169,点,西四环中路41号院,西169,五棵松地铁站,518.437405,573.382749,9.55637915,1.91127583,0.406087272
170,点,缘溪家园,西170,公主坟地铁站,465.635119,562.224407,9.370406783,1.874081357,0.969821968
171,点,翠微南里社区,西171,万寿路地铁站,525.289881,591.541021,9.859017017,1.971803403,0.534108659
172,点,普惠南里,东172,公主坟地铁站,444.720934,546.127442,9.102124033,1.820424807,0.953855795
173,点,翠微小区,东173,公主坟地铁站,774.002408,1182.497586,19.7082931,3.94165862,1.186697466
174,点,普惠南里,北174,公主坟地铁站,461.083998,603.271609,10.05452682,2.010905363,1.068147985
175,点,普惠南里,北175,公主坟地铁站,476.144206,642.860606,10.71434343,2.142868687,1.147328527
176,点,翠微小区,东176,公主坟地铁站,783.360616,1203.146621,20.05244368,4.010488737,1.200463995
